[2019-08-14 19:09:20,941]: ---mrmd 2.0 start----
[2019-08-14 19:09:21,051]: ANOVA start...
[2019-08-14 19:09:21,069]: ANOVA end.
[2019-08-14 19:09:21,069]: mic start...
[2019-08-14 19:09:29,111]: mic end.
[2019-08-14 19:09:29,111]: mrmd start...
[2019-08-14 19:09:29,344]: mrmd end.
[2019-08-14 19:09:29,345]: mRMR start...
[2019-08-14 19:09:38,131]: mRMR end.
[2019-08-14 19:09:38,131]: lasso start...
[2019-08-14 19:09:38,158]: lasso end.
[2019-08-14 19:09:38,159]: lasso2 start...
[2019-08-14 19:09:38,807]: lasso2 end.
[2019-08-14 19:09:38,811]: rank start ...
[2019-08-14 19:09:38,820]: The final  rank is
[2019-08-14 19:09:38,821]: aromatic.uncharger.gap5 : 0.0080
[2019-08-14 19:09:38,821]: aromatic.uncharger.gap0 : 0.0078
[2019-08-14 19:09:38,821]: uncharger.postivecharger.gap0 : 0.0077
[2019-08-14 19:09:38,821]: uncharger.aromatic.gap5 : 0.0077
[2019-08-14 19:09:38,821]: uncharger.aromatic.gap1 : 0.0077
[2019-08-14 19:09:38,821]: alphaticr.alphaticr.gap5 : 0.0077
[2019-08-14 19:09:38,821]: uncharger.uncharger.gap3 : 0.0077
[2019-08-14 19:09:38,821]: aromatic.uncharger.gap4 : 0.0077
[2019-08-14 19:09:38,822]: alphaticr.alphaticr.gap0 : 0.0077
[2019-08-14 19:09:38,822]: postivecharger.negativecharger.gap5 : 0.0076
[2019-08-14 19:09:38,822]: aromatic.negativecharger.gap0 : 0.0076
[2019-08-14 19:09:38,822]: aromatic.postivecharger.gap5 : 0.0076
[2019-08-14 19:09:38,822]: alphaticr.postivecharger.gap3 : 0.0076
[2019-08-14 19:09:38,822]: aromatic.uncharger.gap2 : 0.0076
[2019-08-14 19:09:38,822]: postivecharger.postivecharger.gap4 : 0.0076
[2019-08-14 19:09:38,822]: postivecharger.uncharger.gap5 : 0.0076
[2019-08-14 19:09:38,822]: uncharger.postivecharger.gap2 : 0.0076
[2019-08-14 19:09:38,822]: postivecharger.uncharger.gap3 : 0.0075
[2019-08-14 19:09:38,822]: alphaticr.aromatic.gap2 : 0.0075
[2019-08-14 19:09:38,822]: uncharger.postivecharger.gap1 : 0.0075
[2019-08-14 19:09:38,823]: alphaticr.postivecharger.gap2 : 0.0075
[2019-08-14 19:09:38,823]: uncharger.negativecharger.gap1 : 0.0075
[2019-08-14 19:09:38,823]: aromatic.alphaticr.gap4 : 0.0075
[2019-08-14 19:09:38,823]: postivecharger.alphaticr.gap3 : 0.0074
[2019-08-14 19:09:38,823]: uncharger.alphaticr.gap5 : 0.0074
[2019-08-14 19:09:38,823]: postivecharger.uncharger.gap0 : 0.0074
[2019-08-14 19:09:38,823]: negativecharger.alphaticr.gap4 : 0.0074
[2019-08-14 19:09:38,823]: postivecharger.aromatic.gap3 : 0.0074
[2019-08-14 19:09:38,823]: postivecharger.postivecharger.gap1 : 0.0074
[2019-08-14 19:09:38,823]: negativecharger.uncharger.gap2 : 0.0074
[2019-08-14 19:09:38,823]: alphaticr.alphaticr.gap4 : 0.0074
[2019-08-14 19:09:38,823]: postivecharger.alphaticr.gap0 : 0.0074
[2019-08-14 19:09:38,824]: uncharger.alphaticr.gap0 : 0.0074
[2019-08-14 19:09:38,824]: uncharger.aromatic.gap0 : 0.0073
[2019-08-14 19:09:38,824]: negativecharger.alphaticr.gap3 : 0.0073
[2019-08-14 19:09:38,824]: uncharger.uncharger.gap2 : 0.0073
[2019-08-14 19:09:38,824]: alphaticr.alphaticr.gap1 : 0.0073
[2019-08-14 19:09:38,824]: uncharger.alphaticr.gap2 : 0.0073
[2019-08-14 19:09:38,824]: alphaticr.negativecharger.gap3 : 0.0073
[2019-08-14 19:09:38,824]: uncharger.alphaticr.gap1 : 0.0073
[2019-08-14 19:09:38,824]: postivecharger.uncharger.gap2 : 0.0073
[2019-08-14 19:09:38,824]: negativecharger.alphaticr.gap0 : 0.0073
[2019-08-14 19:09:38,824]: postivecharger.uncharger.gap4 : 0.0073
[2019-08-14 19:09:38,825]: aromatic.negativecharger.gap5 : 0.0073
[2019-08-14 19:09:38,825]: uncharger.postivecharger.gap4 : 0.0073
[2019-08-14 19:09:38,825]: uncharger.postivecharger.gap5 : 0.0072
[2019-08-14 19:09:38,825]: negativecharger.aromatic.gap2 : 0.0072
[2019-08-14 19:09:38,825]: aromatic.uncharger.gap1 : 0.0072
[2019-08-14 19:09:38,825]: uncharger.negativecharger.gap5 : 0.0072
[2019-08-14 19:09:38,825]: uncharger.aromatic.gap4 : 0.0071
[2019-08-14 19:09:38,825]: postivecharger.alphaticr.gap1 : 0.0071
[2019-08-14 19:09:38,825]: postivecharger.aromatic.gap5 : 0.0070
[2019-08-14 19:09:38,825]: alphaticr.negativecharger.gap5 : 0.0070
[2019-08-14 19:09:38,825]: negativecharger.negativecharger.gap2 : 0.0070
[2019-08-14 19:09:38,825]: negativecharger.postivecharger.gap2 : 0.0069
[2019-08-14 19:09:38,826]: aromatic.postivecharger.gap4 : 0.0069
[2019-08-14 19:09:38,826]: aromatic.alphaticr.gap5 : 0.0069
[2019-08-14 19:09:38,826]: postivecharger.negativecharger.gap0 : 0.0069
[2019-08-14 19:09:38,826]: uncharger.aromatic.gap3 : 0.0068
[2019-08-14 19:09:38,826]: postivecharger.postivecharger.gap5 : 0.0067
[2019-08-14 19:09:38,826]: negativecharger.aromatic.gap3 : 0.0067
[2019-08-14 19:09:38,826]: negativecharger.alphaticr.gap5 : 0.0067
[2019-08-14 19:09:38,826]: negativecharger.postivecharger.gap4 : 0.0067
[2019-08-14 19:09:38,826]: negativecharger.uncharger.gap1 : 0.0067
[2019-08-14 19:09:38,827]: postivecharger.negativecharger.gap1 : 0.0066
[2019-08-14 19:09:38,827]: uncharger.alphaticr.gap3 : 0.0066
[2019-08-14 19:09:38,827]: postivecharger.aromatic.gap1 : 0.0066
[2019-08-14 19:09:38,827]: aromatic.aromatic.gap0 : 0.0066
