length,accuracy,f1,precision,recall,roc
1,0.5273,0.5279,0.5299,0.5273,0.5274
2,0.5727,0.5730,0.5733,0.5727,0.5711
3,0.5636,0.5619,0.5616,0.5636,0.5587
4,0.5000,0.4996,0.4993,0.5000,0.4967
5,0.5636,0.5629,0.5626,0.5636,0.5600
6,0.6091,0.6040,0.6073,0.6091,0.6010
7,0.6364,0.6324,0.6354,0.6364,0.6291
8,0.6182,0.6175,0.6173,0.6182,0.6148
9,0.6455,0.6409,0.6451,0.6455,0.6376
10,0.6818,0.6790,0.6818,0.6818,0.6755
11,0.6636,0.6638,0.6641,0.6636,0.6625
12,0.7000,0.6992,0.6994,0.7000,0.6964
13,0.6727,0.6704,0.6722,0.6727,0.6670
14,0.6818,0.6790,0.6818,0.6818,0.6755
15,0.7273,0.7253,0.7278,0.7273,0.7218
16,0.7273,0.7253,0.7278,0.7273,0.7218
17,0.7182,0.7166,0.7181,0.7182,0.7134
18,0.7000,0.6984,0.6997,0.7000,0.6951
19,0.7273,0.7253,0.7278,0.7273,0.7218
20,0.7000,0.6984,0.6997,0.7000,0.6951
21,0.7545,0.7524,0.7565,0.7545,0.7486
22,0.7545,0.7524,0.7565,0.7545,0.7486
23,0.7455,0.7444,0.7454,0.7455,0.7414
24,0.7000,0.6992,0.6994,0.7000,0.6964
25,0.7182,0.7174,0.7177,0.7182,0.7147
26,0.7091,0.7079,0.7086,0.7091,0.7049
27,0.7364,0.7340,0.7378,0.7364,0.7303
28,0.7545,0.7539,0.7543,0.7545,0.7512
29,0.7091,0.7079,0.7086,0.7091,0.7049
30,0.7545,0.7544,0.7543,0.7545,0.7526
31,0.7364,0.7356,0.7360,0.7364,0.7330
32,0.7273,0.7253,0.7278,0.7273,0.7218
33,0.7182,0.7180,0.7179,0.7182,0.7160
34,0.7273,0.7262,0.7270,0.7273,0.7232
35,0.7364,0.7340,0.7378,0.7364,0.7303
36,0.7455,0.7458,0.7481,0.7455,0.7468
37,0.7455,0.7437,0.7464,0.7455,0.7401
38,0.7727,0.7729,0.7731,0.7727,0.7722
39,0.7636,0.7632,0.7634,0.7636,0.7611
40,0.7455,0.7437,0.7464,0.7455,0.7401
41,0.7818,0.7818,0.7818,0.7818,0.7807
42,0.7636,0.7627,0.7638,0.7636,0.7597
43,0.7727,0.7721,0.7726,0.7727,0.7695
44,0.7727,0.7721,0.7726,0.7727,0.7695
45,0.7909,0.7898,0.7920,0.7909,0.7865
46,0.7818,0.7818,0.7818,0.7818,0.7807
47,0.7727,0.7721,0.7726,0.7727,0.7695
48,0.7636,0.7620,0.7649,0.7636,0.7584
49,0.7727,0.7715,0.7735,0.7727,0.7682
50,0.7727,0.7721,0.7726,0.7727,0.7695
51,0.7636,0.7627,0.7638,0.7636,0.7597
52,0.7727,0.7715,0.7735,0.7727,0.7682
53,0.7727,0.7721,0.7726,0.7727,0.7695
54,0.7545,0.7544,0.7543,0.7545,0.7526
55,0.7818,0.7803,0.7835,0.7818,0.7767
56,0.7455,0.7450,0.7451,0.7455,0.7428
57,0.7545,0.7532,0.7550,0.7545,0.7499
58,0.7273,0.7262,0.7270,0.7273,0.7232
59,0.7636,0.7620,0.7649,0.7636,0.7584
60,0.7636,0.7632,0.7634,0.7636,0.7611
61,0.7727,0.7721,0.7726,0.7727,0.7695
62,0.7818,0.7803,0.7835,0.7818,0.7767
63,0.7909,0.7898,0.7920,0.7909,0.7865
64,0.7636,0.7627,0.7638,0.7636,0.7597
65,0.7636,0.7627,0.7638,0.7636,0.7597
66,0.7727,0.7707,0.7751,0.7727,0.7669
67,0.7818,0.7809,0.7822,0.7818,0.7780
68,0.7636,0.7620,0.7649,0.7636,0.7584
69,0.7455,0.7444,0.7454,0.7455,0.7414
70,0.7545,0.7532,0.7550,0.7545,0.7499
71,0.7636,0.7632,0.7634,0.7636,0.7611
72,0.7455,0.7444,0.7454,0.7455,0.7414
73,0.7545,0.7532,0.7550,0.7545,0.7499
74,0.7818,0.7803,0.7835,0.7818,0.7767
75,0.7818,0.7803,0.7835,0.7818,0.7767
76,0.7545,0.7539,0.7543,0.7545,0.7512
77,0.7636,0.7627,0.7638,0.7636,0.7597
78,0.7818,0.7815,0.7816,0.7818,0.7793
79,0.7455,0.7450,0.7451,0.7455,0.7428
80,0.7273,0.7273,0.7273,0.7273,0.7258
81,0.7364,0.7356,0.7360,0.7364,0.7330
82,0.7455,0.7444,0.7454,0.7455,0.7414
83,0.7545,0.7532,0.7550,0.7545,0.7499
84,0.7182,0.7166,0.7181,0.7182,0.7134
85,0.7545,0.7544,0.7543,0.7545,0.7526
86,0.7727,0.7715,0.7735,0.7727,0.7682
87,0.7545,0.7532,0.7550,0.7545,0.7499
88,0.7636,0.7620,0.7649,0.7636,0.7584
89,0.7818,0.7809,0.7822,0.7818,0.7780
90,0.7636,0.7627,0.7638,0.7636,0.7597
91,0.7455,0.7444,0.7454,0.7455,0.7414
92,0.7636,0.7620,0.7649,0.7636,0.7584
93,0.8091,0.8086,0.8093,0.8091,0.8061
94,0.7818,0.7803,0.7835,0.7818,0.7767
95,0.7818,0.7803,0.7835,0.7818,0.7767
96,0.8091,0.8074,0.8125,0.8091,0.8034
97,0.7727,0.7721,0.7726,0.7727,0.7695
98,0.7636,0.7627,0.7638,0.7636,0.7597
99,0.7636,0.7636,0.7636,0.7636,0.7624
100,0.7909,0.7908,0.7907,0.7909,0.7891
101,0.7818,0.7809,0.7822,0.7818,0.7780
102,0.7636,0.7632,0.7634,0.7636,0.7611
103,0.8000,0.7978,0.8044,0.8000,0.7936
104,0.7909,0.7898,0.7920,0.7909,0.7865
105,0.7909,0.7898,0.7920,0.7909,0.7865
106,0.7818,0.7803,0.7835,0.7818,0.7767
107,0.7545,0.7524,0.7565,0.7545,0.7486
108,0.7818,0.7815,0.7816,0.7818,0.7793
109,0.7636,0.7600,0.7696,0.7636,0.7557
110,0.8000,0.7992,0.8005,0.8000,0.7963
111,0.7909,0.7898,0.7920,0.7909,0.7865
112,0.7909,0.7903,0.7909,0.7909,0.7878
113,0.7818,0.7795,0.7857,0.7818,0.7753
114,0.7909,0.7898,0.7920,0.7909,0.7865
115,0.7636,0.7620,0.7649,0.7636,0.7584
116,0.7818,0.7818,0.7818,0.7818,0.7807
117,0.7818,0.7809,0.7822,0.7818,0.7780
118,0.7545,0.7539,0.7543,0.7545,0.7512
119,0.7636,0.7627,0.7638,0.7636,0.7597
120,0.7909,0.7908,0.7907,0.7909,0.7891
121,0.7818,0.7803,0.7835,0.7818,0.7767
122,0.7818,0.7815,0.7816,0.7818,0.7793
123,0.7818,0.7815,0.7816,0.7818,0.7793
124,0.7545,0.7539,0.7543,0.7545,0.7512
125,0.7455,0.7444,0.7454,0.7455,0.7414
126,0.7818,0.7795,0.7857,0.7818,0.7753
127,0.7727,0.7715,0.7735,0.7727,0.7682
128,0.7455,0.7437,0.7464,0.7455,0.7401
