length,accuracy,f1,precision,recall,roc
1,0.4719,0.4717,0.4717,0.4717,0.4717
2,0.5193,0.5190,0.5192,0.5192,0.5192
3,0.4745,0.4747,0.4747,0.4747,0.4747
4,0.4575,0.4576,0.4576,0.4576,0.4576
5,0.4869,0.4868,0.4869,0.4869,0.4869
6,0.5034,0.5030,0.5030,0.5030,0.5030
7,0.4891,0.4888,0.4889,0.4889,0.4889
8,0.4799,0.4797,0.4798,0.4798,0.4798
9,0.4798,0.4795,0.4798,0.4798,0.4798
10,0.5052,0.5049,0.5051,0.5051,0.5051
11,0.5062,0.5059,0.5061,0.5061,0.5061
12,0.5132,0.5130,0.5131,0.5131,0.5131
13,0.5060,0.5059,0.5061,0.5061,0.5061
14,0.4941,0.4938,0.4939,0.4939,0.4939
15,0.5092,0.5091,0.5091,0.5091,0.5091
16,0.5154,0.5148,0.5152,0.5152,0.5152
17,0.5244,0.5239,0.5243,0.5242,0.5242
18,0.5193,0.5188,0.5193,0.5192,0.5192
19,0.5276,0.5266,0.5274,0.5273,0.5273
20,0.5506,0.5494,0.5510,0.5505,0.5505
21,0.5255,0.5249,0.5253,0.5253,0.5253
22,0.5294,0.5289,0.5294,0.5293,0.5293
23,0.5609,0.5605,0.5607,0.5606,0.5606
24,0.5459,0.5451,0.5456,0.5455,0.5455
25,0.5267,0.5259,0.5264,0.5263,0.5263
26,0.5253,0.5249,0.5253,0.5253,0.5253
27,0.5294,0.5292,0.5293,0.5293,0.5293
28,0.5356,0.5347,0.5356,0.5354,0.5354
29,0.5275,0.5256,0.5277,0.5273,0.5273
30,0.5326,0.5317,0.5325,0.5323,0.5323
31,0.5558,0.5545,0.5561,0.5556,0.5556
32,0.5366,0.5363,0.5364,0.5364,0.5364
33,0.5265,0.5259,0.5264,0.5263,0.5263
34,0.5335,0.5331,0.5334,0.5333,0.5333
35,0.5488,0.5480,0.5487,0.5485,0.5485
36,0.5264,0.5259,0.5264,0.5263,0.5263
37,0.5284,0.5268,0.5286,0.5283,0.5283
38,0.5336,0.5331,0.5334,0.5333,0.5333
39,0.5316,0.5308,0.5314,0.5313,0.5313
40,0.5407,0.5402,0.5405,0.5404,0.5404
41,0.5497,0.5490,0.5497,0.5495,0.5495
42,0.5378,0.5370,0.5375,0.5374,0.5374
43,0.5488,0.5482,0.5486,0.5485,0.5485
44,0.5246,0.5239,0.5243,0.5242,0.5242
45,0.5446,0.5442,0.5446,0.5444,0.5444
46,0.5487,0.5478,0.5488,0.5485,0.5485
47,0.5476,0.5475,0.5475,0.5475,0.5475
48,0.5476,0.5472,0.5476,0.5475,0.5475
49,0.5224,0.5217,0.5223,0.5222,0.5222
50,0.5395,0.5392,0.5394,0.5394,0.5394
51,0.5449,0.5442,0.5445,0.5444,0.5444
52,0.5386,0.5382,0.5384,0.5384,0.5384
53,0.5599,0.5596,0.5596,0.5596,0.5596
54,0.5344,0.5342,0.5344,0.5343,0.5343
55,0.5486,0.5481,0.5487,0.5485,0.5485
56,0.5546,0.5544,0.5546,0.5545,0.5545
57,0.5396,0.5393,0.5394,0.5394,0.5394
58,0.5628,0.5623,0.5628,0.5626,0.5626
59,0.5266,0.5259,0.5263,0.5263,0.5263
60,0.5385,0.5383,0.5384,0.5384,0.5384
61,0.5316,0.5313,0.5313,0.5313,0.5313
62,0.5274,0.5265,0.5275,0.5273,0.5273
63,0.5559,0.5552,0.5557,0.5556,0.5556
64,0.5336,0.5330,0.5334,0.5333,0.5333
65,0.5385,0.5382,0.5384,0.5384,0.5384
66,0.5495,0.5493,0.5496,0.5495,0.5495
67,0.5537,0.5531,0.5537,0.5535,0.5535
68,0.5548,0.5543,0.5547,0.5545,0.5545
69,0.5344,0.5343,0.5344,0.5343,0.5343
70,0.5375,0.5369,0.5375,0.5374,0.5374
71,0.5436,0.5434,0.5434,0.5434,0.5434
72,0.5376,0.5373,0.5374,0.5374,0.5374
73,0.5383,0.5384,0.5384,0.5384,0.5384
74,0.5313,0.5312,0.5313,0.5313,0.5313
75,0.5525,0.5518,0.5529,0.5525,0.5525
76,0.5516,0.5511,0.5517,0.5515,0.5515
77,0.5578,0.5573,0.5577,0.5576,0.5576
78,0.5447,0.5437,0.5447,0.5444,0.5444
79,0.5282,0.5281,0.5283,0.5283,0.5283
80,0.5345,0.5343,0.5344,0.5343,0.5343
81,0.5325,0.5321,0.5324,0.5323,0.5323
82,0.5302,0.5294,0.5305,0.5303,0.5303
83,0.5384,0.5383,0.5384,0.5384,0.5384
84,0.5335,0.5331,0.5334,0.5333,0.5333
85,0.5225,0.5219,0.5223,0.5222,0.5222
86,0.5485,0.5484,0.5485,0.5485,0.5485
87,0.5445,0.5441,0.5446,0.5444,0.5444
88,0.5384,0.5379,0.5385,0.5384,0.5384
89,0.5446,0.5439,0.5446,0.5444,0.5444
90,0.5577,0.5573,0.5577,0.5576,0.5576
91,0.5367,0.5358,0.5365,0.5364,0.5364
92,0.5365,0.5357,0.5366,0.5364,0.5364
93,0.5385,0.5376,0.5386,0.5384,0.5384
94,0.5809,0.5802,0.5813,0.5808,0.5808
95,0.5606,0.5594,0.5613,0.5606,0.5606
96,0.5396,0.5387,0.5396,0.5394,0.5394
97,0.5394,0.5391,0.5395,0.5394,0.5394
98,0.5343,0.5343,0.5344,0.5343,0.5343
99,0.5395,0.5386,0.5397,0.5394,0.5394
100,0.5748,0.5734,0.5757,0.5747,0.5747
101,0.5506,0.5503,0.5506,0.5505,0.5505
102,0.5538,0.5531,0.5537,0.5535,0.5535
103,0.5313,0.5312,0.5313,0.5313,0.5313
104,0.5386,0.5381,0.5385,0.5384,0.5384
105,0.5538,0.5534,0.5536,0.5535,0.5535
106,0.5547,0.5542,0.5547,0.5545,0.5545
107,0.5678,0.5677,0.5677,0.5677,0.5677
108,0.5436,0.5431,0.5436,0.5434,0.5434
109,0.5565,0.5563,0.5567,0.5566,0.5566
110,0.5557,0.5554,0.5556,0.5556,0.5556
111,0.5537,0.5534,0.5536,0.5535,0.5535
112,0.5728,0.5723,0.5731,0.5727,0.5727
113,0.5717,0.5716,0.5718,0.5717,0.5717
114,0.5445,0.5437,0.5448,0.5444,0.5444
115,0.5386,0.5380,0.5385,0.5384,0.5384
116,0.5736,0.5730,0.5743,0.5737,0.5737
117,0.5556,0.5554,0.5556,0.5556,0.5556
118,0.5475,0.5473,0.5475,0.5475,0.5475
119,0.5465,0.5464,0.5465,0.5465,0.5465
120,0.5647,0.5646,0.5647,0.5646,0.5646
121,0.5679,0.5673,0.5679,0.5677,0.5677
122,0.5516,0.5514,0.5516,0.5515,0.5515
123,0.5588,0.5584,0.5587,0.5586,0.5586
124,0.5426,0.5420,0.5426,0.5424,0.5424
125,0.5506,0.5501,0.5507,0.5505,0.5505
126,0.5619,0.5609,0.5620,0.5616,0.5616
127,0.5716,0.5716,0.5718,0.5717,0.5717
128,0.5464,0.5461,0.5466,0.5465,0.5465
129,0.5598,0.5596,0.5596,0.5596,0.5596
130,0.5648,0.5646,0.5647,0.5646,0.5646
131,0.5307,0.5302,0.5303,0.5303,0.5303
132,0.5577,0.5574,0.5577,0.5576,0.5576
133,0.5688,0.5685,0.5688,0.5687,0.5687
134,0.5396,0.5393,0.5394,0.5394,0.5394
135,0.5356,0.5352,0.5354,0.5354,0.5354
136,0.5677,0.5675,0.5678,0.5677,0.5677
137,0.5474,0.5475,0.5475,0.5475,0.5475
138,0.5447,0.5444,0.5445,0.5444,0.5444
139,0.5577,0.5573,0.5577,0.5576,0.5576
140,0.5514,0.5513,0.5516,0.5515,0.5515
141,0.5649,0.5645,0.5647,0.5646,0.5646
142,0.5617,0.5616,0.5616,0.5616,0.5616
143,0.5558,0.5555,0.5556,0.5556,0.5556
144,0.5749,0.5746,0.5748,0.5747,0.5747
145,0.5626,0.5626,0.5626,0.5626,0.5626
146,0.5494,0.5490,0.5497,0.5495,0.5495
147,0.5556,0.5555,0.5556,0.5556,0.5556
148,0.5536,0.5534,0.5536,0.5535,0.5535
