length,accuracy,f1,precision,recall,roc
1,0.6957,0.6957,0.6957,0.6957,0.6920
2,0.6848,0.6856,0.6878,0.6848,0.6846
3,0.7717,0.7714,0.7713,0.7717,0.7678
4,0.7935,0.7932,0.7931,0.7935,0.7898
5,0.8478,0.8468,0.8491,0.8478,0.8412
6,0.8804,0.8793,0.8837,0.8804,0.8730
7,0.8913,0.8906,0.8933,0.8913,0.8852
8,0.9022,0.9013,0.9059,0.9022,0.8950
9,0.8913,0.8900,0.8967,0.8913,0.8828
10,0.8696,0.8680,0.8743,0.8696,0.8608
11,0.8696,0.8680,0.8743,0.8696,0.8608
12,0.8696,0.8680,0.8743,0.8696,0.8608
13,0.8696,0.8680,0.8743,0.8696,0.8608
14,0.8804,0.8793,0.8837,0.8804,0.8730
15,0.8913,0.8910,0.8915,0.8913,0.8876
16,0.8913,0.8906,0.8933,0.8913,0.8852
17,0.8696,0.8687,0.8712,0.8696,0.8632
18,0.8804,0.8799,0.8812,0.8804,0.8754
19,0.8913,0.8906,0.8933,0.8913,0.8852
20,0.8696,0.8692,0.8696,0.8696,0.8656
21,0.8587,0.8580,0.8592,0.8587,0.8534
22,0.8587,0.8585,0.8585,0.8587,0.8558
23,0.8804,0.8799,0.8812,0.8804,0.8754
24,0.9022,0.9017,0.9032,0.9022,0.8974
25,0.8478,0.8478,0.8478,0.8478,0.8460
26,0.8587,0.8580,0.8592,0.8587,0.8534
27,0.8913,0.8910,0.8915,0.8913,0.8876
28,0.8587,0.8585,0.8585,0.8587,0.8558
29,0.8696,0.8687,0.8712,0.8696,0.8632
30,0.8478,0.8468,0.8491,0.8478,0.8412
31,0.8804,0.8799,0.8812,0.8804,0.8754
32,0.8478,0.8474,0.8478,0.8478,0.8436
33,0.8696,0.8687,0.8712,0.8696,0.8632
34,0.8696,0.8687,0.8712,0.8696,0.8632
35,0.8696,0.8687,0.8712,0.8696,0.8632
36,0.8370,0.8362,0.8372,0.8370,0.8314
37,0.8370,0.8367,0.8367,0.8370,0.8338
38,0.8587,0.8580,0.8592,0.8587,0.8534
39,0.8370,0.8362,0.8372,0.8370,0.8314
40,0.8587,0.8574,0.8614,0.8587,0.8510
41,0.8478,0.8460,0.8518,0.8478,0.8388
42,0.8370,0.8362,0.8372,0.8370,0.8314
43,0.8478,0.8468,0.8491,0.8478,0.8412
44,0.8370,0.8355,0.8391,0.8370,0.8290
45,0.8478,0.8468,0.8491,0.8478,0.8412
46,0.8478,0.8468,0.8491,0.8478,0.8412
47,0.8370,0.8355,0.8391,0.8370,0.8290
48,0.8587,0.8574,0.8614,0.8587,0.8510
49,0.8370,0.8355,0.8391,0.8370,0.8290
50,0.8587,0.8574,0.8614,0.8587,0.8510
51,0.8587,0.8574,0.8614,0.8587,0.8510
52,0.8587,0.8580,0.8592,0.8587,0.8534
53,0.8478,0.8468,0.8491,0.8478,0.8412
54,0.8587,0.8574,0.8614,0.8587,0.8510
55,0.8587,0.8574,0.8614,0.8587,0.8510
56,0.8587,0.8574,0.8614,0.8587,0.8510
57,0.8696,0.8687,0.8712,0.8696,0.8632
58,0.8696,0.8687,0.8712,0.8696,0.8632
59,0.8696,0.8692,0.8696,0.8696,0.8656
60,0.8696,0.8680,0.8743,0.8696,0.8608
61,0.8370,0.8362,0.8372,0.8370,0.8314
62,0.8587,0.8580,0.8592,0.8587,0.8534
63,0.8370,0.8355,0.8391,0.8370,0.8290
64,0.8478,0.8468,0.8491,0.8478,0.8412
65,0.8478,0.8468,0.8491,0.8478,0.8412
66,0.8587,0.8580,0.8592,0.8587,0.8534
67,0.8587,0.8574,0.8614,0.8587,0.8510
68,0.8696,0.8680,0.8743,0.8696,0.8608
69,0.8587,0.8574,0.8614,0.8587,0.8510
70,0.8478,0.8468,0.8491,0.8478,0.8412
71,0.8478,0.8474,0.8478,0.8478,0.8436
72,0.8696,0.8687,0.8712,0.8696,0.8632
73,0.8696,0.8687,0.8712,0.8696,0.8632
74,0.8696,0.8687,0.8712,0.8696,0.8632
75,0.8478,0.8468,0.8491,0.8478,0.8412
76,0.8696,0.8687,0.8712,0.8696,0.8632
77,0.8587,0.8574,0.8614,0.8587,0.8510
78,0.8587,0.8580,0.8592,0.8587,0.8534
79,0.8478,0.8468,0.8491,0.8478,0.8412
80,0.8696,0.8687,0.8712,0.8696,0.8632
81,0.8696,0.8680,0.8743,0.8696,0.8608
82,0.8696,0.8687,0.8712,0.8696,0.8632
83,0.8587,0.8574,0.8614,0.8587,0.8510
84,0.8696,0.8687,0.8712,0.8696,0.8632
