length,accuracy,f1,precision,recall,roc
1,0.7576,0.7382,0.8329,0.7609,0.7317
2,0.8040,0.8047,0.8059,0.8043,0.8044
3,0.7929,0.7932,0.7931,0.7935,0.7898
4,0.8707,0.8687,0.8712,0.8696,0.8632
5,0.8485,0.8468,0.8491,0.8478,0.8412
6,0.8485,0.8474,0.8478,0.8478,0.8436
7,0.8929,0.8906,0.8933,0.8913,0.8852
8,0.8596,0.8585,0.8585,0.8587,0.8558
9,0.8596,0.8585,0.8585,0.8587,0.8558
10,0.8596,0.8580,0.8592,0.8587,0.8534
11,0.8374,0.8367,0.8367,0.8370,0.8338
12,0.8687,0.8692,0.8696,0.8696,0.8656
13,0.8465,0.8468,0.8491,0.8478,0.8412
14,0.8354,0.8362,0.8372,0.8370,0.8314
15,0.8687,0.8687,0.8712,0.8696,0.8632
16,0.8485,0.8468,0.8491,0.8478,0.8412
17,0.8707,0.8692,0.8696,0.8696,0.8656
18,0.8485,0.8474,0.8478,0.8478,0.8436
19,0.8687,0.8687,0.8712,0.8696,0.8632
20,0.8576,0.8580,0.8592,0.8587,0.8534
21,0.8596,0.8580,0.8592,0.8587,0.8534
22,0.8465,0.8468,0.8491,0.8478,0.8412
23,0.8596,0.8585,0.8585,0.8587,0.8558
24,0.8818,0.8803,0.8803,0.8804,0.8778
25,0.8707,0.8692,0.8696,0.8696,0.8656
26,0.8596,0.8588,0.8592,0.8587,0.8582
27,0.8909,0.8910,0.8915,0.8913,0.8876
28,0.8485,0.8478,0.8478,0.8478,0.8460
29,0.8152,0.8143,0.8152,0.8152,0.8094
30,0.8374,0.8362,0.8372,0.8370,0.8314
31,0.8374,0.8367,0.8367,0.8370,0.8338
32,0.8576,0.8580,0.8592,0.8587,0.8534
33,0.8909,0.8913,0.8913,0.8913,0.8900
34,0.8596,0.8585,0.8585,0.8587,0.8558
35,0.8374,0.8367,0.8367,0.8370,0.8338
36,0.8596,0.8580,0.8592,0.8587,0.8534
37,0.8798,0.8793,0.8837,0.8804,0.8730
38,0.8707,0.8692,0.8696,0.8696,0.8656
39,0.8707,0.8692,0.8696,0.8696,0.8656
40,0.8465,0.8468,0.8491,0.8478,0.8412
41,0.8465,0.8474,0.8478,0.8478,0.8436
42,0.8596,0.8580,0.8592,0.8587,0.8534
43,0.8687,0.8687,0.8712,0.8696,0.8632
44,0.8929,0.8906,0.8933,0.8913,0.8852
45,0.8778,0.8793,0.8837,0.8804,0.8730
46,0.8687,0.8687,0.8712,0.8696,0.8632
47,0.8707,0.8692,0.8696,0.8696,0.8656
48,0.8576,0.8580,0.8592,0.8587,0.8534
49,0.8374,0.8355,0.8391,0.8370,0.8290
50,0.8556,0.8574,0.8614,0.8587,0.8510
51,0.8687,0.8687,0.8712,0.8696,0.8632
52,0.8707,0.8692,0.8696,0.8696,0.8656
53,0.8889,0.8900,0.8967,0.8913,0.8828
54,0.8485,0.8474,0.8478,0.8478,0.8436
55,0.8687,0.8687,0.8712,0.8696,0.8632
56,0.8576,0.8574,0.8614,0.8587,0.8510
57,0.8687,0.8687,0.8712,0.8696,0.8632
58,0.8465,0.8468,0.8491,0.8478,0.8412
59,0.8576,0.8580,0.8592,0.8587,0.8534
60,0.8465,0.8468,0.8491,0.8478,0.8412
61,0.8263,0.8256,0.8259,0.8261,0.8216
62,0.8596,0.8580,0.8592,0.8587,0.8534
63,0.8667,0.8687,0.8712,0.8696,0.8632
64,0.8263,0.8256,0.8259,0.8261,0.8216
65,0.8485,0.8468,0.8491,0.8478,0.8412
66,0.8485,0.8468,0.8491,0.8478,0.8412
67,0.8556,0.8574,0.8614,0.8587,0.8510
68,0.8465,0.8468,0.8491,0.8478,0.8412
69,0.8485,0.8474,0.8478,0.8478,0.8436
70,0.8596,0.8580,0.8592,0.8587,0.8534
71,0.8374,0.8362,0.8372,0.8370,0.8314
72,0.8667,0.8680,0.8743,0.8696,0.8608
73,0.8556,0.8574,0.8614,0.8587,0.8510
74,0.8374,0.8362,0.8372,0.8370,0.8314
75,0.8485,0.8468,0.8491,0.8478,0.8412
76,0.8263,0.8256,0.8259,0.8261,0.8216
77,0.8374,0.8362,0.8372,0.8370,0.8314
78,0.8556,0.8574,0.8614,0.8587,0.8510
79,0.8263,0.8256,0.8259,0.8261,0.8216
80,0.8263,0.8256,0.8259,0.8261,0.8216
81,0.8687,0.8687,0.8712,0.8696,0.8632
82,0.8596,0.8580,0.8592,0.8587,0.8534
83,0.8576,0.8574,0.8614,0.8587,0.8510
84,0.8596,0.8580,0.8592,0.8587,0.8534
85,0.8576,0.8574,0.8614,0.8587,0.8510
86,0.8485,0.8468,0.8491,0.8478,0.8412
87,0.8485,0.8474,0.8478,0.8478,0.8436
88,0.8465,0.8468,0.8491,0.8478,0.8412
89,0.8374,0.8362,0.8372,0.8370,0.8314
90,0.8374,0.8362,0.8372,0.8370,0.8314
91,0.8465,0.8474,0.8478,0.8478,0.8436
92,0.8667,0.8680,0.8743,0.8696,0.8608
93,0.8263,0.8249,0.8269,0.8261,0.8192
94,0.8444,0.8474,0.8478,0.8478,0.8436
95,0.8556,0.8574,0.8614,0.8587,0.8510
96,0.8354,0.8362,0.8372,0.8370,0.8314
97,0.8444,0.8468,0.8491,0.8478,0.8412
98,0.8778,0.8793,0.8837,0.8804,0.8730
99,0.8374,0.8367,0.8367,0.8370,0.8338
100,0.8465,0.8474,0.8478,0.8478,0.8436
101,0.8576,0.8580,0.8592,0.8587,0.8534
102,0.8556,0.8580,0.8592,0.8587,0.8534
103,0.8576,0.8580,0.8592,0.8587,0.8534
104,0.8576,0.8580,0.8592,0.8587,0.8534
105,0.8354,0.8362,0.8372,0.8370,0.8314
106,0.8354,0.8367,0.8367,0.8370,0.8338
107,0.8465,0.8474,0.8478,0.8478,0.8436
108,0.8667,0.8687,0.8712,0.8696,0.8632
109,0.8354,0.8367,0.8367,0.8370,0.8338
110,0.8374,0.8367,0.8367,0.8370,0.8338
111,0.8242,0.8256,0.8259,0.8261,0.8216
112,0.8263,0.8256,0.8259,0.8261,0.8216
113,0.8444,0.8468,0.8491,0.8478,0.8412
114,0.8667,0.8687,0.8712,0.8696,0.8632
115,0.8556,0.8574,0.8614,0.8587,0.8510
116,0.8465,0.8474,0.8478,0.8478,0.8436
117,0.8465,0.8468,0.8491,0.8478,0.8412
118,0.8485,0.8468,0.8491,0.8478,0.8412
119,0.8465,0.8474,0.8478,0.8478,0.8436
120,0.8465,0.8474,0.8478,0.8478,0.8436
121,0.8242,0.8256,0.8259,0.8261,0.8216
122,0.8465,0.8468,0.8491,0.8478,0.8412
123,0.8465,0.8474,0.8478,0.8478,0.8436
124,0.8374,0.8367,0.8367,0.8370,0.8338
125,0.8556,0.8574,0.8614,0.8587,0.8510
126,0.8242,0.8261,0.8261,0.8261,0.8240
127,0.8576,0.8580,0.8592,0.8587,0.8534
128,0.8394,0.8355,0.8391,0.8370,0.8290
129,0.8465,0.8474,0.8478,0.8478,0.8436
130,0.8556,0.8574,0.8614,0.8587,0.8510
131,0.8556,0.8574,0.8614,0.8587,0.8510
132,0.8333,0.8362,0.8372,0.8370,0.8314
133,0.8667,0.8687,0.8712,0.8696,0.8632
