length,accuracy,f1,precision,recall,roc
1,0.5933,0.5850,0.6120,0.5933,0.6005
2,0.5798,0.5769,0.5886,0.5798,0.5843
3,0.5697,0.5665,0.5785,0.5697,0.5743
4,0.6286,0.6245,0.6291,0.6286,0.6237
5,0.5815,0.5817,0.5822,0.5815,0.5813
6,0.5866,0.5868,0.5873,0.5866,0.5864
7,0.5613,0.5610,0.5609,0.5613,0.5597
8,0.5782,0.5782,0.5784,0.5782,0.5774
9,0.6101,0.6102,0.6105,0.6101,0.6096
10,0.6134,0.6135,0.6136,0.6134,0.6127
11,0.6303,0.6305,0.6312,0.6303,0.6304
12,0.6387,0.6388,0.6393,0.6387,0.6385
13,0.6471,0.6469,0.6469,0.6471,0.6459
14,0.6605,0.6604,0.6604,0.6605,0.6595
15,0.6840,0.6839,0.6839,0.6840,0.6830
16,0.6975,0.6976,0.6977,0.6975,0.6971
17,0.6672,0.6674,0.6676,0.6672,0.6669
18,0.6773,0.6771,0.6771,0.6773,0.6760
19,0.6807,0.6805,0.6804,0.6807,0.6794
20,0.6689,0.6687,0.6686,0.6689,0.6675
21,0.6857,0.6852,0.6854,0.6857,0.6839
22,0.6874,0.6865,0.6872,0.6874,0.6850
23,0.6739,0.6733,0.6736,0.6739,0.6719
24,0.6723,0.6714,0.6719,0.6723,0.6699
25,0.6807,0.6797,0.6805,0.6807,0.6781
26,0.6840,0.6826,0.6842,0.6840,0.6810
27,0.6941,0.6937,0.6938,0.6941,0.6924
28,0.6958,0.6950,0.6956,0.6958,0.6935
29,0.6992,0.6992,0.6992,0.6992,0.6985
30,0.6924,0.6918,0.6922,0.6924,0.6903
31,0.7076,0.7070,0.7074,0.7076,0.7056
32,0.7059,0.7045,0.7065,0.7059,0.7028
33,0.7042,0.7035,0.7041,0.7042,0.7020
34,0.6992,0.6983,0.6991,0.6992,0.6967
35,0.6975,0.6970,0.6972,0.6975,0.6956
36,0.7092,0.7089,0.7090,0.7092,0.7076
37,0.7042,0.7036,0.7040,0.7042,0.7022
38,0.7227,0.7215,0.7233,0.7227,0.7198
39,0.7092,0.7084,0.7093,0.7092,0.7068
40,0.7311,0.7299,0.7319,0.7311,0.7282
41,0.7008,0.6999,0.7009,0.7008,0.6983
42,0.7210,0.7202,0.7211,0.7210,0.7187
43,0.7076,0.7067,0.7075,0.7076,0.7052
44,0.7176,0.7172,0.7175,0.7176,0.7158
45,0.7294,0.7289,0.7293,0.7294,0.7275
46,0.7126,0.7119,0.7126,0.7126,0.7104
47,0.7328,0.7319,0.7332,0.7328,0.7302
48,0.7126,0.7119,0.7126,0.7126,0.7104
49,0.7076,0.7070,0.7074,0.7076,0.7056
50,0.7294,0.7288,0.7294,0.7294,0.7274
51,0.7160,0.7155,0.7158,0.7160,0.7142
52,0.7311,0.7308,0.7309,0.7311,0.7296
53,0.7143,0.7138,0.7141,0.7143,0.7125
54,0.7109,0.7102,0.7108,0.7109,0.7088
55,0.7244,0.7241,0.7242,0.7244,0.7229
56,0.7277,0.7271,0.7278,0.7277,0.7256
57,0.7277,0.7271,0.7278,0.7277,0.7256
58,0.7042,0.7033,0.7043,0.7042,0.7017
59,0.7176,0.7170,0.7176,0.7176,0.7155
60,0.7143,0.7125,0.7155,0.7143,0.7108
61,0.7244,0.7239,0.7242,0.7244,0.7226
62,0.7345,0.7334,0.7351,0.7345,0.7317
63,0.7227,0.7215,0.7233,0.7227,0.7198
64,0.7361,0.7356,0.7361,0.7361,0.7343
65,0.7378,0.7374,0.7377,0.7378,0.7362
66,0.7092,0.7088,0.7090,0.7092,0.7075
67,0.7109,0.7096,0.7115,0.7109,0.7079
68,0.7025,0.7019,0.7024,0.7025,0.7004
69,0.7311,0.7299,0.7319,0.7311,0.7282
70,0.7361,0.7355,0.7363,0.7361,0.7339
71,0.7160,0.7147,0.7165,0.7160,0.7131
72,0.7412,0.7407,0.7411,0.7412,0.7394
73,0.7311,0.7302,0.7314,0.7311,0.7286
74,0.7227,0.7221,0.7226,0.7227,0.7206
75,0.7345,0.7340,0.7344,0.7345,0.7327
76,0.7244,0.7236,0.7245,0.7244,0.7221
77,0.7345,0.7340,0.7344,0.7345,0.7327
78,0.7261,0.7252,0.7262,0.7261,0.7237
79,0.7328,0.7321,0.7329,0.7328,0.7306
80,0.7345,0.7336,0.7348,0.7345,0.7320
81,0.7311,0.7306,0.7310,0.7311,0.7293
82,0.7294,0.7291,0.7292,0.7294,0.7279
83,0.7462,0.7452,0.7469,0.7462,0.7436
84,0.7294,0.7288,0.7294,0.7294,0.7274
85,0.7479,0.7475,0.7479,0.7479,0.7461
86,0.7462,0.7456,0.7464,0.7462,0.7441
87,0.7277,0.7269,0.7280,0.7277,0.7253
88,0.7328,0.7326,0.7326,0.7328,0.7316
89,0.7361,0.7356,0.7361,0.7361,0.7343
90,0.7210,0.7200,0.7214,0.7210,0.7184
91,0.7244,0.7239,0.7242,0.7244,0.7226
92,0.7513,0.7505,0.7517,0.7513,0.7489
93,0.7328,0.7321,0.7329,0.7328,0.7306
94,0.7445,0.7437,0.7450,0.7445,0.7421
95,0.7378,0.7372,0.7379,0.7378,0.7357
96,0.7193,0.7184,0.7196,0.7193,0.7168
97,0.7277,0.7276,0.7276,0.7277,0.7266
98,0.7277,0.7273,0.7276,0.7277,0.7259
99,0.7361,0.7346,0.7377,0.7361,0.7328
100,0.7261,0.7255,0.7260,0.7261,0.7242
101,0.7210,0.7201,0.7212,0.7210,0.7185
102,0.7311,0.7297,0.7321,0.7311,0.7280
103,0.7529,0.7520,0.7537,0.7529,0.7503
104,0.7328,0.7316,0.7335,0.7328,0.7299
105,0.7378,0.7370,0.7382,0.7378,0.7354
106,0.7244,0.7237,0.7244,0.7244,0.7222
107,0.7378,0.7370,0.7382,0.7378,0.7354
108,0.7496,0.7492,0.7495,0.7496,0.7479
109,0.7378,0.7377,0.7377,0.7378,0.7367
110,0.7361,0.7352,0.7366,0.7361,0.7336
111,0.7311,0.7300,0.7317,0.7311,0.7283
112,0.7529,0.7525,0.7530,0.7529,0.7511
113,0.7412,0.7406,0.7413,0.7412,0.7391
114,0.7361,0.7351,0.7367,0.7361,0.7335
115,0.7244,0.7236,0.7245,0.7244,0.7221
116,0.7496,0.7487,0.7501,0.7496,0.7471
117,0.7412,0.7406,0.7412,0.7412,0.7392
118,0.7445,0.7441,0.7445,0.7445,0.7428
119,0.7429,0.7420,0.7433,0.7429,0.7404
120,0.7462,0.7458,0.7461,0.7462,0.7445
121,0.7529,0.7527,0.7528,0.7529,0.7516
122,0.7496,0.7493,0.7495,0.7496,0.7481
123,0.7479,0.7474,0.7480,0.7479,0.7460
124,0.7714,0.7712,0.7714,0.7714,0.7701
125,0.7630,0.7627,0.7630,0.7630,0.7614
126,0.7378,0.7374,0.7377,0.7378,0.7362
127,0.7546,0.7541,0.7547,0.7546,0.7527
128,0.7445,0.7440,0.7446,0.7445,0.7426
129,0.7513,0.7504,0.7519,0.7513,0.7487
130,0.7630,0.7629,0.7629,0.7630,0.7621
131,0.7563,0.7558,0.7564,0.7563,0.7545
132,0.7714,0.7708,0.7719,0.7714,0.7692
133,0.7765,0.7761,0.7765,0.7765,0.7749
134,0.7681,0.7673,0.7687,0.7681,0.7657
135,0.7580,0.7572,0.7585,0.7580,0.7556
136,0.7765,0.7763,0.7764,0.7765,0.7752
137,0.7714,0.7711,0.7714,0.7714,0.7699
138,0.7529,0.7522,0.7534,0.7529,0.7506
139,0.7563,0.7557,0.7566,0.7563,0.7542
140,0.7849,0.7844,0.7853,0.7849,0.7829
141,0.7529,0.7522,0.7534,0.7529,0.7506
142,0.7613,0.7606,0.7619,0.7613,0.7590
143,0.7630,0.7626,0.7631,0.7630,0.7612
144,0.7765,0.7761,0.7766,0.7765,0.7747
145,0.7496,0.7490,0.7497,0.7496,0.7476
146,0.7664,0.7659,0.7666,0.7664,0.7644
147,0.7613,0.7608,0.7616,0.7613,0.7593
148,0.7664,0.7657,0.7669,0.7664,0.7641
149,0.7597,0.7594,0.7596,0.7597,0.7582
150,0.7731,0.7728,0.7731,0.7731,0.7717
151,0.7681,0.7676,0.7682,0.7681,0.7662
152,0.7664,0.7659,0.7665,0.7664,0.7646
153,0.7647,0.7641,0.7650,0.7647,0.7627
154,0.7647,0.7641,0.7650,0.7647,0.7627
155,0.7748,0.7741,0.7755,0.7748,0.7724
156,0.7798,0.7794,0.7800,0.7798,0.7781
157,0.7697,0.7690,0.7705,0.7697,0.7673
158,0.7647,0.7640,0.7653,0.7647,0.7623
159,0.7681,0.7673,0.7687,0.7681,0.7657
160,0.7647,0.7635,0.7663,0.7647,0.7617
161,0.7782,0.7771,0.7796,0.7782,0.7753
162,0.7647,0.7634,0.7666,0.7647,0.7615
163,0.7765,0.7761,0.7766,0.7765,0.7747
164,0.7529,0.7524,0.7531,0.7529,0.7510
165,0.7731,0.7723,0.7739,0.7731,0.7707
166,0.7765,0.7757,0.7773,0.7765,0.7740
167,0.7731,0.7724,0.7737,0.7731,0.7708
168,0.7748,0.7743,0.7750,0.7748,0.7729
169,0.7647,0.7636,0.7660,0.7647,0.7618
170,0.7613,0.7609,0.7615,0.7613,0.7595
171,0.7580,0.7570,0.7589,0.7580,0.7553
172,0.7529,0.7516,0.7545,0.7529,0.7498
173,0.7714,0.7704,0.7728,0.7714,0.7686
174,0.7597,0.7589,0.7601,0.7597,0.7574
175,0.7613,0.7606,0.7619,0.7613,0.7590
176,0.7664,0.7660,0.7664,0.7664,0.7648
177,0.7832,0.7827,0.7835,0.7832,0.7813
178,0.7765,0.7756,0.7775,0.7765,0.7739
179,0.7647,0.7637,0.7657,0.7647,0.7620
180,0.7697,0.7690,0.7705,0.7697,0.7673
181,0.7597,0.7591,0.7598,0.7597,0.7577
182,0.7697,0.7693,0.7699,0.7697,0.7680
183,0.7513,0.7502,0.7521,0.7513,0.7485
184,0.7832,0.7822,0.7849,0.7832,0.7803
185,0.7798,0.7793,0.7801,0.7798,0.7779
186,0.7647,0.7639,0.7655,0.7647,0.7622
187,0.7798,0.7790,0.7809,0.7798,0.7773
188,0.7630,0.7619,0.7644,0.7630,0.7601
189,0.7630,0.7624,0.7634,0.7630,0.7609
190,0.7815,0.7811,0.7816,0.7815,0.7798
191,0.7613,0.7605,0.7621,0.7613,0.7588
192,0.8017,0.8015,0.8016,0.8017,0.8006
193,0.7630,0.7622,0.7637,0.7630,0.7606
194,0.7798,0.7794,0.7800,0.7798,0.7781
195,0.7731,0.7725,0.7735,0.7731,0.7710
196,0.7664,0.7657,0.7669,0.7664,0.7641
197,0.7630,0.7625,0.7632,0.7630,0.7611
198,0.7630,0.7620,0.7642,0.7630,0.7602
199,0.7714,0.7706,0.7723,0.7714,0.7689
200,0.7697,0.7692,0.7700,0.7697,0.7678
201,0.7832,0.7822,0.7849,0.7832,0.7803
202,0.7681,0.7675,0.7684,0.7681,0.7660
203,0.7697,0.7690,0.7705,0.7697,0.7673
204,0.7664,0.7659,0.7665,0.7664,0.7646
205,0.7681,0.7676,0.7682,0.7681,0.7662
206,0.7731,0.7721,0.7744,0.7731,0.7704
207,0.7697,0.7691,0.7703,0.7697,0.7675
208,0.7563,0.7553,0.7574,0.7563,0.7535
209,0.7815,0.7807,0.7825,0.7815,0.7790
210,0.8050,0.8047,0.8053,0.8050,0.8034
211,0.7933,0.7928,0.7937,0.7933,0.7914
212,0.7546,0.7536,0.7555,0.7546,0.7519
213,0.7597,0.7585,0.7610,0.7597,0.7567
214,0.7748,0.7744,0.7749,0.7748,0.7731
215,0.7782,0.7777,0.7784,0.7782,0.7763
216,0.7798,0.7789,0.7812,0.7798,0.7771
217,0.7714,0.7704,0.7728,0.7714,0.7686
218,0.7664,0.7658,0.7668,0.7664,0.7643
219,0.7849,0.7844,0.7851,0.7849,0.7830
220,0.7681,0.7668,0.7700,0.7681,0.7649
221,0.7798,0.7790,0.7809,0.7798,0.7773
222,0.7731,0.7722,0.7741,0.7731,0.7705
223,0.7681,0.7664,0.7711,0.7681,0.7644
224,0.7597,0.7590,0.7600,0.7597,0.7575
225,0.7882,0.7874,0.7896,0.7882,0.7856
