class,AA_Kmer2,AC_Kmer2,AG_Kmer2,AU_Kmer2,CA_Kmer2,CC_Kmer2,CG_Kmer2,CU_Kmer2,GA_Kmer2,GC_Kmer2,GG_Kmer2,GU_Kmer2,UA_Kmer2,UC_Kmer2,UG_Kmer2,UU_Kmer2,AA_PC-PseDNC-General,AC_PC-PseDNC-General,AG_PC-PseDNC-General,AU_PC-PseDNC-General,CA_PC-PseDNC-General,CC_PC-PseDNC-General,CG_PC-PseDNC-General,CU_PC-PseDNC-General,GA_PC-PseDNC-General,GC_PC-PseDNC-General,GG_PC-PseDNC-General,GU_PC-PseDNC-General,UA_PC-PseDNC-General,UC_PC-PseDNC-General,UG_PC-PseDNC-General,UU_PC-PseDNC-General,lambda1_PC-PseDNC-General,lambda2_PC-PseDNC-General,lambda3_PC-PseDNC-General,lambda4_PC-PseDNC-General,lambda5_PC-PseDNC-General,lambda6_PC-PseDNC-General,lambda7_PC-PseDNC-General,lambda8_PC-PseDNC-General,lambda9_PC-PseDNC-General,lambda10_PC-PseDNC-General,1_DAC,2_DAC,3_DAC,4_DAC,5_DAC,6_DAC,7_DAC,8_DAC,9_DAC,10_DAC,11_DAC,12_DAC,13_DAC,14_DAC,15_DAC,16_DAC,17_DAC,18_DAC,19_DAC,20_DAC,21_DAC,22_DAC,23_DAC,24_DAC,25_DAC,26_DAC,27_DAC,28_DAC,29_DAC,30_DAC,31_DAC,32_DAC,33_DAC,34_DAC,35_DAC,36_DAC,37_DAC,38_DAC,39_DAC,40_DAC,41_DAC,42_DAC,43_DAC,44_DAC,45_DAC,46_DAC,47_DAC,48_DAC,49_DAC,50_DAC,51_DAC,52_DAC,53_DAC,54_DAC,55_DAC,56_DAC,57_DAC,58_DAC,59_DAC,60_DAC
1,0.15,0.05,0.1,0.1,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.05,0.15,0.0,0.05,0.15,0.083,0.028,0.055,0.055,0.0,0.0,0.0,0.028,0.083,0.0,0.0,0.028,0.083,0.0,0.028,0.083,0.046,0.045,0.04,0.049,0.04,0.037,0.063,0.04,0.032,0.055,-0.001,-0.908,0.249,0.086,0.0,0.003,-0.002,0.027,-0.248,-2.637,0.001,0.001,0.001,0.203,-0.405,-4.118,-0.027,-0.028,-0.0,-1.713,-0.208,-3.684,0.006,-0.023,0.001,-0.583,0.032,-2.926,0.021,-0.007,-0.005,0.325,0.04,-2.132,0.04,0.011,0.001,-2.77,-0.058,1.368,0.028,0.002,-0.001,1.539,-0.064,-0.061,0.03,-0.001,0.001,0.285,0.153,-1.737,0.029,0.003,0.001,-1.676,0.154,-0.563,0.056,0.029
1,0.15,0.0,0.05,0.15,0.05,0.1,0.05,0.05,0.0,0.1,0.1,0.0,0.15,0.05,0.0,0.0,0.064,0.0,0.021,0.064,0.021,0.043,0.021,0.021,0.0,0.043,0.043,0.0,0.064,0.021,0.0,0.0,0.054,0.056,0.065,0.046,0.066,0.061,0.065,0.047,0.056,0.056,0.001,0.372,0.01,-0.612,0.0,0.019,-0.001,1.038,-0.112,-2.62,0.003,0.022,0.002,-0.345,0.079,-1.653,0.037,0.026,0.0,0.832,-0.001,-0.24,0.024,0.004,0.001,0.726,-0.037,-2.891,0.012,-0.025,0.001,1.032,-0.169,-8.263,0.021,-0.029,-0.002,-1.064,0.067,-10.773,0.005,-0.073,-0.001,-1.867,0.162,-11.364,-0.01,-0.103,-0.002,-5.156,-0.257,-0.1,-0.025,-0.169,-0.004,-7.44,-0.159,0.695,-0.068,-0.216
1,0.15,0.0,0.0,0.15,0.0,0.1,0.05,0.0,0.05,0.0,0.05,0.1,0.1,0.05,0.1,0.1,0.071,0.0,0.0,0.071,0.0,0.047,0.024,0.0,0.024,0.0,0.024,0.047,0.047,0.024,0.047,0.047,0.059,0.063,0.05,0.043,0.054,0.058,0.06,0.057,0.034,0.05,-0.0,-0.603,-0.041,-0.172,0.001,0.019,-0.0,-0.504,-0.099,-2.468,-0.0,0.012,-0.005,-0.746,-0.196,-3.424,-0.004,0.007,-0.0,0.666,0.047,-6.586,-0.009,0.014,-0.003,-1.173,0.017,-8.67,-0.016,0.015,0.003,-1.544,-0.039,-7.267,-0.003,0.041,0.001,0.975,-0.176,-9.571,-0.005,0.057,-0.003,-1.911,0.126,-11.254,-0.033,0.021,-0.0,-0.362,0.021,-10.431,0.011,0.034,0.003,-1.041,0.204,-10.589,0.029,0.078
1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.25,0.052,0.052,0.026,0.026,0.026,0.026,0.0,0.052,0.0,0.026,0.0,0.0,0.104,0.0,0.0,0.13,0.053,0.052,0.04,0.054,0.039,0.046,0.053,0.043,0.048,0.053,-0.001,-0.761,0.047,-0.54,-0.0,0.001,-0.002,-1.058,-0.079,1.357,0.007,0.004,-0.002,1.473,-0.138,1.505,0.017,0.02,-0.003,0.466,-0.084,2.549,0.028,0.027,0.002,1.657,0.009,6.165,0.013,0.027,0.004,0.549,0.261,5.045,-0.008,-0.005,-0.001,1.064,0.073,4.757,-0.012,-0.015,-0.001,3.81,-0.185,5.452,0.001,0.008,-0.002,0.488,-0.198,5.282,-0.009,-0.004,-0.004,1.283,-0.178,6.874,0.004,0.004
1,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.1,0.05,0.05,0.05,0.15,0.05,0.05,0.25,0.0,0.0,0.024,0.024,0.024,0.024,0.024,0.0,0.049,0.024,0.024,0.024,0.073,0.024,0.024,0.122,0.0,0.074,0.047,0.048,0.046,0.063,0.039,0.041,0.076,0.037,0.042,-0.003,-2.238,-0.003,-0.609,-0.002,-0.003,-0.0,1.745,0.076,-0.743,-0.005,0.001,-0.0,1.36,-0.03,2.52,-0.017,0.005,-0.0,1.249,-0.044,2.026,-0.041,-0.002,-0.0,-0.73,-0.092,2.509,-0.018,-0.007,-0.003,1.844,-0.126,0.989,-0.019,0.009,0.002,1.551,-0.099,1.753,0.016,0.02,0.001,-2.677,-0.093,1.031,-0.007,-0.018,0.0,4.325,-0.025,-0.23,-0.015,-0.011,-0.005,1.369,-0.041,-0.658,-0.021,-0.0
1,0.05,0.0,0.05,0.0,0.0,0.1,0.1,0.05,0.0,0.1,0.15,0.15,0.05,0.05,0.15,0.0,0.018,0.0,0.018,0.0,0.0,0.036,0.036,0.018,0.0,0.036,0.054,0.054,0.018,0.018,0.054,0.0,0.072,0.039,0.09,0.044,0.079,0.049,0.086,0.051,0.087,0.041,0.003,-0.429,0.032,-1.05,0.002,0.021,-0.001,1.782,-0.008,-0.675,-0.011,-0.004,-0.0,-5.419,0.042,-4.632,-0.028,-0.039,-0.003,-4.113,0.036,7.01,-0.041,-0.077,-0.003,-8.597,0.082,5.081,-0.058,-0.118,0.001,-4.058,-0.04,4.857,-0.078,-0.147,0.008,-8.051,0.119,-5.696,-0.077,-0.134,0.004,-4.03,0.054,-0.855,-0.096,-0.125,0.003,-6.887,-0.008,-1.44,-0.084,-0.085,0.005,-5.914,0.063,1.095,-0.098,-0.068
1,0.0,0.1,0.05,0.0,0.15,0.1,0.05,0.05,0.0,0.05,0.05,0.1,0.0,0.15,0.05,0.1,0.0,0.043,0.022,0.0,0.065,0.043,0.022,0.022,0.0,0.022,0.022,0.043,0.0,0.065,0.022,0.043,0.083,0.051,0.059,0.051,0.049,0.054,0.032,0.084,0.038,0.064,0.005,-3.306,0.076,-0.399,-0.001,-0.001,0.001,2.721,-0.004,-1.509,0.001,0.009,-0.001,0.896,-0.057,-0.786,0.029,0.021,-0.006,0.313,-0.142,-1.464,-0.002,-0.009,-0.005,1.773,0.063,-2.842,0.002,0.003,-0.004,-0.861,-0.039,-4.632,-0.017,-0.024,-0.002,2.592,-0.237,-1.696,-0.031,-0.017,-0.001,-3.75,-0.272,-2.417,0.009,-0.013,-0.005,2.303,-0.29,-11.325,0.016,0.01,-0.006,-2.748,-0.071,-11.016,0.063,0.018
1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.15,0.05,0.1,0.05,0.05,0.1,0.05,0.1,0.2,0.0,0.0,0.024,0.049,0.0,0.0,0.0,0.073,0.024,0.049,0.024,0.024,0.049,0.024,0.049,0.098,0.056,0.052,0.057,0.053,0.036,0.064,0.031,0.056,0.052,0.056,0.0,-0.636,0.052,-0.704,-0.0,0.004,-0.002,-0.035,-0.279,2.708,-0.011,-0.007,-0.001,-1.403,-0.128,2.622,-0.037,-0.033,-0.0,-0.9,0.04,0.51,-0.038,-0.021,-0.0,-0.506,-0.022,0.449,-0.043,-0.015,-0.001,-1.822,-0.07,1.004,-0.027,0.002,-0.0,1.124,0.132,6.3,-0.045,0.003,0.002,-0.062,0.163,-2.605,-0.042,0.007,0.002,0.497,0.027,2.507,-0.064,0.004,-0.002,-1.991,-0.363,2.116,-0.074,-0.002
1,0.0,0.05,0.15,0.05,0.05,0.1,0.05,0.05,0.1,0.05,0.1,0.1,0.1,0.0,0.05,0.0,0.0,0.022,0.066,0.022,0.022,0.044,0.022,0.022,0.044,0.022,0.044,0.044,0.044,0.0,0.022,0.0,0.074,0.045,0.052,0.065,0.053,0.049,0.069,0.038,0.075,0.043,0.004,-2.139,-0.072,-0.283,-0.0,-0.0,0.001,-0.145,0.033,7.284,-0.005,-0.026,-0.001,0.304,-0.001,7.22,0.001,-0.018,-0.004,-0.396,-0.057,5.737,-0.018,-0.019,-0.004,-0.362,0.007,11.084,-0.029,-0.027,-0.005,1.052,-0.004,9.481,-0.056,-0.048,-0.005,-0.525,-0.091,12.575,-0.069,-0.046,-0.002,2.18,0.036,12.794,-0.069,-0.029,0.001,-0.176,-0.086,8.651,-0.067,0.002,0.003,0.556,-0.045,9.663,-0.067,0.019
1,0.05,0.05,0.1,0.0,0.05,0.05,0.0,0.15,0.05,0.1,0.2,0.0,0.05,0.1,0.0,0.05,0.024,0.024,0.048,0.0,0.024,0.024,0.0,0.073,0.024,0.048,0.097,0.0,0.024,0.048,0.0,0.024,0.055,0.058,0.035,0.047,0.059,0.041,0.052,0.048,0.054,0.066,-0.001,-0.317,-0.076,-0.247,-0.0,-0.001,-0.003,-2.863,-0.194,-0.529,-0.007,-0.025,0.003,-1.91,0.166,-2.232,-0.014,-0.033,0.0,-3.619,0.047,1.204,-0.02,-0.049,-0.003,-3.944,-0.193,-0.905,-0.041,-0.055,0.001,-3.011,0.043,3.184,-0.047,-0.042,0.003,-2.543,0.025,4.287,-0.021,-0.016,-0.002,-2.233,-0.045,5.662,0.03,-0.005,-0.001,-3.669,0.04,5.191,0.003,-0.018,0.002,-2.41,-0.012,6.332,0.038,0.023
